Date,Open,High,Low,Close,Volume
21-Jun-21,259.82,263.52,257.92,262.63,"26,696,119"
22-Jun-21,262.72,265.79,262.4,265.51,"24,694,090"
23-Jun-21,265.99,266.83,264.43,265.27,"19,518,681"
24-Jun-21,266.16,267.85,265.47,266.69,"21,446,867"
25-Jun-21,266.23,267.25,264.76,265.02,"25,611,113"
28-Jun-21,266.19,268.9,265.91,268.72,"19,590,024"
29-Jun-21,268.87,271.65,267.98,271.4,"19,937,811"
30-Jun-21,270.69,271.36,269.6,270.9,"21,656,457"
01-Jul-21,269.61,271.84,269.6,271.6,"16,725,323"
02-Jul-21,272.82,278,272.5,277.65,"26,474,408"
06-Jul-21,278.03,279.37,274.3,277.66,"31,565,560"
07-Jul-21,279.4,280.69,277.15,279.93,"23,260,031"
08-Jul-21,276.9,278.73,274.87,277.42,"24,618,591"
09-Jul-21,275.72,278.05,275.32,277.94,"23,916,665"
12-Jul-21,279.16,279.77,276.58,277.32,"18,931,695"
13-Jul-21,277.52,282.85,277.39,280.98,"26,120,128"
14-Jul-21,282.35,283.66,280.55,282.51,"23,113,662"
15-Jul-21,282,282.51,279.83,281.03,"22,604,227"
16-Jul-21,282.07,284.1,279.46,280.75,"26,186,848"
19-Jul-21,278.93,280.37,274.45,277.01,"32,935,634"
20-Jul-21,278.03,280.97,276.26,279.32,"26,259,741"
21-Jul-21,278.9,281.52,277.29,281.4,"24,364,320"
22-Jul-21,283.84,286.42,283.42,286.14,"23,384,059"
23-Jul-21,287.37,289.99,286.5,289.67,"22,768,071"
26-Jul-21,289,289.69,286.64,289.05,"23,176,073"
27-Jul-21,289.43,289.58,282.95,286.54,"33,604,073"
28-Jul-21,288.99,290.15,283.83,286.22,"33,566,853"
29-Jul-21,286.24,288.62,286.08,286.5,"18,168,294"
30-Jul-21,285.17,286.66,283.91,284.91,"20,944,846"
02-Aug-21,286.36,286.77,283.74,284.82,"16,267,357"
03-Aug-21,285.42,287.23,284,287.12,"17,879,048"
04-Aug-21,286.22,287.59,284.65,286.51,"16,191,301"
05-Aug-21,286.88,289.63,286.1,289.52,"13,900,167"
06-Aug-21,288.51,289.5,287.62,289.46,"16,589,336"
09-Aug-21,289.75,291.55,287.81,288.33,"16,117,629"
10-Aug-21,288.8,289.25,285.2,286.44,"18,616,578"
11-Aug-21,287.21,288.66,285.86,286.95,"13,955,934"
12-Aug-21,286.63,289.97,286.34,289.81,"14,570,391"
13-Aug-21,289.48,292.9,289.3,292.85,"18,249,046"
16-Aug-21,293.19,294.82,290.02,294.6,"22,516,027"
17-Aug-21,292.39,293.43,291.08,293.08,"20,075,250"
18-Aug-21,292.04,294.82,290.27,290.73,"21,812,985"
19-Aug-21,288.69,297.47,288.64,296.77,"29,850,461"
20-Aug-21,299.72,305.84,298.06,304.36,"40,817,646"
23-Aug-21,303.25,305.4,301.85,304.65,"22,830,157"
24-Aug-21,305.02,305.65,302,302.62,"18,175,774"
25-Aug-21,304.3,304.59,300.42,302.01,"20,006,057"
