Date,Open,High,Low,Close,Volume
18-Aug-21,113.45,113.9,109.76,110.65,"3,780,837"
19-Aug-21,109.11,110.05,107.41,107.8,"3,907,695"
20-Aug-21,109,111.02,107.85,108.07,"4,551,990"
23-Aug-21,105.65,108.05,105.34,106.59,"6,596,313"
24-Aug-21,110.29,114.26,110.01,113.71,"7,034,238"
25-Aug-21,113,116.62,112.56,116.25,"4,409,993"
26-Aug-21,116.5,120.62,113.35,114.09,"14,720,177"
27-Aug-21,108.05,108.8,102.91,104.34,"31,932,382"
30-Aug-21,103.75,105.24,100.55,101.48,"11,769,579"
31-Aug-21,100.26,103.14,99.1,100.19,"9,805,115"
01-Sep-21,99.91,101.75,98.29,100.04,"9,293,565"
02-Sep-21,100.18,102.28,99.56,101,"8,581,316"
03-Sep-21,100.86,101.35,96.95,98.56,"8,266,697"
07-Sep-21,98.1,98.89,96.06,96.48,"5,734,893"
08-Sep-21,96.2,99.12,96.06,97.5,"5,426,294"
09-Sep-21,99.19,107.79,98.87,107.08,"16,953,975"
10-Sep-21,106.91,118.61,106.54,114.39,"22,449,519"
13-Sep-21,113.67,114.5,110.11,111.51,"8,518,260"
14-Sep-21,111.58,113.88,107.82,108.5,"6,512,363"
15-Sep-21,108.99,108.99,103.82,105.56,"7,189,657"
16-Sep-21,105.56,106.6,103.93,104.92,"3,682,277"
17-Sep-21,104.18,105.23,102.5,103.42,"5,901,867"
20-Sep-21,101.4,104.13,99.3,100.73,"5,282,284"
21-Sep-21,101.25,103.93,100.44,100.92,"3,909,850"
22-Sep-21,99.51,99.98,92.61,94.55,"17,074,951"
23-Sep-21,94.81,96.57,94.01,94.38,"5,366,935"
24-Sep-21,94.13,94.13,91.76,92.64,"5,244,879"
27-Sep-21,91.71,94.38,89.63,92.07,"8,976,417"
28-Sep-21,91,91,87.05,87.8,"10,388,458"
29-Sep-21,87.99,89.88,85.2,85.4,"7,212,945"
30-Sep-21,85.06,87.9,84.67,87.05,"6,951,412"
01-Oct-21,86.19,87.16,84.32,86.71,"6,266,805"
04-Oct-21,86.25,86.49,81.33,82.35,"8,961,463"
05-Oct-21,82.21,84.14,81.5,82.56,"5,454,417"
06-Oct-21,82.2,85.19,81.04,83.76,"6,972,198"
07-Oct-21,84.5,89.47,84.42,87.74,"8,829,515"
08-Oct-21,87.5,88.22,85.13,86.11,"4,132,253"
11-Oct-21,85.84,87.4,84.8,84.87,"3,632,879"
12-Oct-21,85.85,87.34,84.87,86.65,"4,100,291"
13-Oct-21,87.23,88.4,86.25,86.71,"3,950,209"
14-Oct-21,87.97,88.2,85.31,85.85,"3,342,170"
15-Oct-21,86.1,86.6,84.47,85.11,"4,174,665"
18-Oct-21,85.11,88.9,83.58,87.65,"6,496,048"
19-Oct-21,87.55,88.3,85.87,88.19,"4,020,624"
20-Oct-21,91.41,93.75,89.78,90.65,"9,689,564"
21-Oct-21,90.41,95.59,90.35,94.83,"7,021,608"
22-Oct-21,93.95,94.91,92.18,93.83,"3,926,897"
25-Oct-21,93.5,97.53,93.29,96.6,"5,713,176"
26-Oct-21,97.15,99.36,92.2,93.46,"6,123,972"
27-Oct-21,93.26,93.42,87.98,88.45,"5,119,847"
28-Oct-21,88.78,90.67,88.53,90.31,"5,461,729"
29-Oct-21,89.91,92.49,88.94,91.44,"6,352,373"
01-Nov-21,91.6,92.95,89.86,92.83,"5,482,876"
02-Nov-21,92.75,92.75,87.92,89.37,"7,532,187"
03-Nov-21,88.94,91.46,88.79,89.9,"6,263,718"
04-Nov-21,90.39,90.49,85.75,86.06,"21,312,626"
05-Nov-21,57.13,61.7,55.21,55.64,"83,569,414"
08-Nov-21,53.36,53.6,49.11,51.25,"52,497,871"
09-Nov-21,52.95,53,48.93,50.13,"22,802,740"
10-Nov-21,49.77,51.41,48.3,48.95,"16,018,555"
11-Nov-21,49.08,50.85,47.57,50.52,"15,780,142"
12-Nov-21,50.67,51.39,48.73,49.22,"8,862,726"
15-Nov-21,49.61,49.71,46.7,47.49,"12,812,671"
16-Nov-21,50.09,54.94,48.85,54.85,"73,862,978"
17-Nov-21,52.66,53.39,50.81,51.13,"24,285,037"
18-Nov-21,51.23,51.8,45.9,48.4,"24,991,615"
19-Nov-21,49.55,50.08,47,47.14,"12,695,110"
22-Nov-21,47.05,47.15,43.3,44.08,"19,820,454"
23-Nov-21,44,44.34,41.13,42.97,"17,946,916"
24-Nov-21,42.55,44.58,41.74,43.92,"13,120,578"
26-Nov-21,47.72,47.75,45,46.41,"16,487,606"
29-Nov-21,44.68,45.58,42.74,44.39,"14,785,648"
30-Nov-21,44.72,46.13,42.5,44,"17,337,100"
01-Dec-21,43.81,45.76,42.19,42.25,"12,901,823"
02-Dec-21,43.89,46.25,43.41,44.45,"17,120,793"
03-Dec-21,46.16,46.5,42.29,43.55,"17,128,626"
06-Dec-21,42.36,43.52,40.84,42.49,"13,586,637"
07-Dec-21,42.58,43.89,41.38,41.78,"11,574,272"
08-Dec-21,41.84,46.35,40.97,45.91,"17,354,771"
09-Dec-21,45.21,45.79,40.27,40.7,"19,329,548"
10-Dec-21,39.85,41.25,37.67,38.51,"23,570,782"
13-Dec-21,39.62,41.46,37.75,41.34,"30,021,482"
14-Dec-21,38.7,42.75,38.67,39.26,"30,336,053"
15-Dec-21,39.33,39.34,36.42,38.5,"18,012,213"
16-Dec-21,38.5,40.18,38.43,39.81,"15,792,640"
17-Dec-21,40.04,43.03,39.16,42.45,"18,360,274"
20-Dec-21,42.16,42.46,38.19,38.7,"18,246,130"
21-Dec-21,38.88,39.78,37.94,39.19,"11,555,239"
22-Dec-21,39.21,39.71,36.64,37.78,"17,182,439"
23-Dec-21,37.42,38.81,35.9,38.59,"17,147,637"
27-Dec-21,38.12,38.47,36.47,36.71,"15,765,136"
28-Dec-21,36.61,37.3,35.03,35.13,"14,026,025"
29-Dec-21,35.13,35.68,33.91,34.56,"13,594,974"
30-Dec-21,34.53,37.9,34.48,37.19,"16,974,853"
31-Dec-21,36.1,37.4,35.66,35.76,"14,463,720"
03-Jan-22,36.08,36.26,34.72,35.2,"12,777,243"
04-Jan-22,35,35.25,32.39,33.82,"21,842,314"
05-Jan-22,33.12,34.6,32,32.23,"15,467,398"
06-Jan-22,32.25,34.67,31.51,33.86,"18,061,322"
07-Jan-22,33.55,36.01,33.03,35.58,"17,078,403"
10-Jan-22,34.7,35.1,32.23,34.37,"17,111,714"
11-Jan-22,34.27,37.68,34.05,36.56,"16,197,433"
12-Jan-22,36.34,37.08,34.47,34.49,"12,830,815"
13-Jan-22,34.68,34.71,31.98,32.15,"20,397,575"
14-Jan-22,31,32.32,30.35,31.33,"21,265,222"
18-Jan-22,30.85,30.92,29.11,30.23,"27,347,790"
19-Jan-22,30.02,32.39,29.54,31.84,"28,231,093"
20-Jan-22,32.05,32.64,23.25,24.22,"105,119,289"
